"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","70","70","70","70","70","70","70","70","70","70","70","70","70","70","80","100","100","100","100","100","90","80","80","80","80","80","80","80","80","80","80","90","90","90","90","90","90","90","100","92","92","92","89","87","87","85.5","84","82","83.6","86","86","86","86","86","86","86","86","86","","",
"Bahamas, The","BHS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","130","130","130","130","130","130","130","130","130","150","150","140","140","140","140","140","140","140","140","","",
"Bosnia and Herzegovina","BIH","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000","21900","21800","21750","21700","21650","21600","21050","21300","21260","21230","21690","21694","21570","21590","21490","21300","21280","21440","21510","21560","21610","21570","21760","22090","22280","22110","","",
"Belarus","BLR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93910","93540","93460","93390","93330","93060","93070","92810","92520","91280","90250","89860","89570","89490","89580","89160","89170","89270","88980","88750","87960","87112","86239","85742","85327","84940","84530","","",
"Belize","BLZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","790","790","800","800","800","810","810","810","820","820","830","830","840","840","850","850","860","930","940","960","970","970","970","970","1010","1030","1120","1150","1200","1260","1300","1360","1430","1430","1460","1470","1480","1480","1500","1490","1490","1520","1520","1520","1520","1520","1520","1520","1550","1570","1570","1600","1600","1600","1700","1700","1720","1720","","",
"Bermuda","BMU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","","",
"Bolivia","BOL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","300420","299420","298070","298780","299150","299510","299880","300240","302610","302970","307340","312700","313080","318430","323800","324160","329530","329890","335250","335620","340990","341360","341730","347170","346870","352030","352270","352500","354700","354550","357960","358310","362130","363510","366000","366840","368740","369820","370690","371430","371560","373110","366470","366170","369620","371120","373900","374850","376730","375160","375570","376510","377380","377020","376610","376850","374880","377270","","",
"Brazil","BRA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1569590","1606660","1643730","1680800","1717870","1754940","1792010","1829080","1866150","1903280","1938340","1973400","2008460","2043520","2078590","2127800","2177010","2226220","2275430","2325172.08","2344138","2363106","2382074","2401042","2419987.07","2405792","2391594","2377396","2363198","2349000","2334802","2320604","2306406","2292208","2278050","2279087","2280124","2281161","2282198","2283235","2284272","2285309","2286346","2287383","2288420","2289510","2296718","2303926","2311134","2318342","2325550","2332758","2339966","2347174","2354382","2361590","2368786","2368788.01","","",
"Barbados","BRB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","170","170","160","160","160","160","160","160","150","140","130","125","120","110","100","100","100","","",
"Brunei Darussalam","BRN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","210","210","210","240","240","230","230","240","240","240","190","180","180","180","180","170","150","150","150","140","140","130","130","120","120","120","120","120","120","110","110","110","110","110","100","100","100","100","100","100","110","110","110","110","110","103","114","114","134","134","134","134","144","144","144","144","144","144","","",
